CITYID,ATTRACTIONNAME,NBHOTEL_NAME,nbhotel_reviewnum,nbhotel_mile
0001,"Sweetest Heart of Mary Roman Catholic Church","The Inn on Ferry Street","604 reviews ",".91 miles away "
0001,"Swords into Plowshares Peace Center and Art Gallery","Aloft Detroit at The David Whitney","488 reviews ",".11 miles away "
0001,"The Cathedral Church of St. Paul","The Inn on Ferry Street","604 reviews ",".36 miles away "
0001,"The Fillmore Detroit","Aloft Detroit at The David Whitney","488 reviews ",".15 miles away "
0001,"The Ford Piquette Avenue Plant","Hotel St. Regis","299 reviews ",".49 miles away "
0001,"The Guardian Building","Crowne Plaza Detroit Downtown Riverfront","896 reviews ",".14 miles away "
0001,"The Heidelberg Project","Baymont Inn and Suites Detroit Near the Riverwalk","115 reviews ","1.25 miles away "
0001,"The Redford Theatre","Suburban House Motel","1 review ","1.00 miles away "
0001,"The Spirit of Detroit","Courtyard by Marriott Detroit Downtown","545 reviews ",".09 miles away "
0001,"The Z Lot","Hilton Garden Inn Detroit Downtown","1,039 reviews ",".07 miles away "
0001,"Tiger Stadium Site","MotorCity Casino Hotel","750 reviews ","1.82 miles away "
0001,"Tuskegee Airmen National Museum","Trumbull and Porter Hotel Detroit","198 reviews ","2.58 miles away "
0001,"Two James Spirits","MotorCity Casino Hotel","750 reviews ",".77 miles away "
0001,"Walter P. Reuther Library","The Inn on Ferry Street","604 reviews ",".23 miles away "
0001,"Wayne County Family Aquatic Center","Detroit Knights Inn","1 review ","2.13 miles away "
0001,"West Riverfront Park","Oakwood At Riverfront","2 reviews ",".33 miles away "
0001,"William G. Milliken State Park and Harbor","Comfort Inn Downtown Detroit","142 reviews ",".27 miles away "
0001,"William Livingstone Memorial Lighthouse","Roberts Riverwalk Hotel","394 reviews ","1.58 miles away "
0001,"Woodlawn Cemetery","Royal Inn Motel","1 review ",".81 miles away "
0001,"Woodward Avenue","Crowne Plaza Detroit Downtown Riverfront","896 reviews ",".13 miles away "
